 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#5649,1.366310041e+01,1.000902627e+00,-2.069642396e-02 
val#5650,1.366427844e+01,1.001281886e+00,-2.070137552e-02 
val#5651,1.366545684e+01,1.001650216e+00,-2.070225228e-02 
val#5652,1.366663561e+01,1.002005452e+00,-2.069935647e-02 
val#5653,1.366781476e+01,1.002345623e+00,-2.069303805e-02 
val#5654,1.366899428e+01,1.002668976e+00,-2.068368416e-02 
val#5655,1.367017417e+01,1.002973994e+00,-2.067170803e-02 
val#5656,1.367135443e+01,1.003259408e+00,-2.065753780e-02 
val#5657,1.367253507e+01,1.003524203e+00,-2.064160560e-02 
val#5658,1.367371609e+01,1.003767615e+00,-2.062433759e-02 
val#5659,1.367489747e+01,1.003989126e+00,-2.060614503e-02 
val#5660,1.367607923e+01,1.004188453e+00,-2.058741675e-02 
val#5661,1.367726137e+01,1.004365530e+00,-2.056851309e-02 
val#5662,1.367844388e+01,1.004520492e+00,-2.054976143e-02 
val#5663,1.367962677e+01,1.004653654e+00,-2.053145319e-02 
val#5664,1.368081003e+01,1.004765486e+00,-2.051384219e-02 
val#5665,1.368199366e+01,1.004856596e+00,-2.049714430e-02 
val#5666,1.368317767e+01,1.004927702e+00,-2.048153814e-02 
val#5667,1.368436206e+01,1.004979616e+00,-2.046716659e-02 
val#5668,1.368554683e+01,1.005013220e+00,-2.045413903e-02 
val#5669,1.368673197e+01,1.005029446e+00,-2.044253402e-02 
val#5670,1.368791748e+01,1.005029265e+00,-2.043240227e-02 
val#5671,1.368910337e+01,1.005013664e+00,-2.042376979e-02 
val#5672,1.369028964e+01,1.004983640e+00,-2.041664107e-02 
val#5673,1.369147629e+01,1.004940184e+00,-2.041100218e-02 
val#5674,1.369266331e+01,1.004884270e+00,-2.040682375e-02 
val#5675,1.369385072e+01,1.004816854e+00,-2.040406374e-02 
val#5676,1.369503849e+01,1.004738860e+00,-2.040266996e-02 
val#5677,1.369622665e+01,1.004651180e+00,-2.040258239e-02 
